@relation DATASET
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute f14 real
@attribute f15 real
@attribute f16 real
@attribute f17 real
@attribute f18 real
@attribute f19 real
@attribute f20 real
@attribute f21 real
@attribute f22 real
@attribute f23 real
@attribute f24 real
@attribute f25 real
@attribute f26 real
@attribute f27 real
@attribute f28 real
@attribute f29 real
@attribute f30 real
@attribute f31 real
@attribute f32 real
@attribute f33 real
@attribute f34 real
@attribute f35 real
@attribute CLASS {car,noncar}

@data
0.063,0.16,0.509,-0.967,0.058,0.0,0.874,0.271,1.307,-0.011,0.311,-0.063,-0.414,-0.206,0.136,0.268,-0.225,-0.49,-0.209,0.758,-0.402,-0.0,-0.345,0.322,-0.0,0.286,-0.329,-0.924,-0.077,0.108,-0.003,0.381,-0.314,0.929,0.184,-0.001,noncar
-0.037,-0.325,-0.626,-0.029,0.121,-0.409,-0.002,-0.835,-0.595,-0.253,0.094,0.375,-0.005,-0.597,0.521,-0.602,-0.611,-0.107,-0.001,-0.344,-0.593,0.008,-0.622,0.18,0.035,-0.513,-0.062,0.27,0.533,0.152,-0.978,0.157,0.011,-0.254,0.453,-0.621,noncar
-0.0,1.253,0.833,-0.97,1.516,0.014,-0.378,1.197,0.546,-0.402,0.311,0.017,0.07,1.148,-1.144,-0.092,0.933,-0.003,0.002,0.689,1.095,0.732,1.104,0.001,-0.64,1.392,0.072,-0.408,1.55,0.01,-0.652,-0.403,-0.151,0.0,0.049,-0.113,car
-0.743,-0.082,-0.626,0.723,-0.006,-0.0,-0.08,-0.297,0.166,0.311,0.094,-0.677,0.023,-0.747,0.649,0.096,-0.611,0.083,0.058,-0.344,-0.912,-0.001,-0.741,0.765,0.622,-1.466,-1.264,0.819,-0.077,-0.099,-0.001,-0.291,1.633,0.686,1.528,-0.0,noncar
-0.939,-1.054,-0.14,0.036,-0.766,0.0,-0.272,1.077,5.236,-0.366,9.439,-0.5,0.061,-0.597,0.521,0.124,-0.611,0.953,-0.001,-0.275,1.668,-0.003,-0.65,-0.208,0.135,0.409,7.284,0.676,0.533,-0.003,0.122,-0.179,-1.449,0.024,-1.698,0.083,noncar
-0.247,1.618,1.967,-0.484,1.516,0.102,-0.001,0.091,-1.482,0.729,-0.558,0.031,-0.35,2.592,-1.912,-0.001,2.861,-0.143,-0.763,1.447,2.911,0.221,2.926,-0.195,0.002,2.744,1.675,-0.699,-0.28,0.003,-0.841,-0.403,-1.287,-0.033,-1.698,0.0,noncar
0.0,0.403,-0.302,-0.032,-0.576,-0.162,-0.49,0.121,0.419,-0.02,-0.558,0.509,-0.135,-0.476,0.136,-0.328,-0.611,0.135,-0.202,-0.344,-0.402,0.003,-0.447,0.672,-0.012,-0.083,-0.863,0.346,1.347,0.013,-0.672,-1.299,1.796,0.645,1.125,-0.566,noncar
0.663,-0.447,-0.302,-0.321,-1.02,0.087,-0.499,-0.357,0.419,-0.307,0.094,0.299,0.009,-0.958,0.905,-0.34,-0.996,-0.129,0.11,-0.138,-0.848,0.367,-0.899,0.283,0.78,-0.329,-0.73,-0.019,-0.687,-0.693,0.027,-1.075,0.66,0.35,0.856,0.641,noncar
0.001,-0.932,-1.76,0.008,-1.274,-0.517,-0.472,-0.865,-0.088,-0.0,-0.341,0.226,-0.962,-1.409,1.673,0.768,-1.382,-0.219,-0.0,-1.447,-1.517,0.001,-1.228,-0.036,-0.077,-1.927,-1.13,-0.609,-0.89,0.97,-0.435,0.157,1.796,-0.5,1.663,-0.123,noncar
-0.048,-0.082,-0.14,0.319,1.009,-0.259,0.745,0.838,0.039,0.613,0.529,0.284,0.952,0.426,-0.632,0.549,0.547,0.582,0.215,-0.138,0.426,-0.0,0.368,0.07,-0.034,-0.698,-1.13,0.001,-0.483,-0.022,0.462,0.157,0.984,0.838,1.125,-0.008,car
